id,timestamp,window_start,client_ip,server_ip,direction,protocol,service,src_port,dst_port,size,flags
79,1759201264.19363,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
80,1759201264.19363,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
81,1759201264.21945,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
82,1759201264.22031,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
83,1759201264.25522,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
84,1759201264.25522,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
85,1759201264.25522,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,79,
86,1759201264.30402,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
87,1759201264.30402,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
88,1759201264.37243,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
89,1759201264.37393,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
90,1759201264.37393,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
91,1759201264.37494,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
92,1759201264.37556,2025-09-30T03:01:00Z,239.255.255.250,192.168.0.4,OUT,UDP,,64102,1900,171,
93,1759201264.38861,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
94,1759201264.38861,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
95,1759201264.44384,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
96,1759201264.44384,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
97,1759201264.44384,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
98,1759201264.44384,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
99,1759201264.50789,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
100,1759201264.50789,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
101,1759201264.52503,2025-09-30T03:01:00Z,192.168.0.3,192.168.0.4,IN,UDP,,47220,53855,513,
102,1759201264.55185,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,62,
103,1759201264.55185,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
104,1759201264.5529,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,187,
105,1759201264.55348,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
106,1759201264.55348,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
107,1759201264.55348,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
108,1759201264.55348,2025-09-30T03:01:00Z,63.140.39.123,192.168.0.4,IN,TCP,,443,51961,60,A
109,1759201264.55348,2025-09-30T03:01:00Z,63.140.39.123,192.168.0.4,OUT,TCP,,51961,443,54,A
110,1759201264.58385,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
111,1759201264.58564,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
112,1759201264.60709,2025-09-30T03:01:00Z,239.255.255.250,192.168.0.4,OUT,UDP,,64102,1900,171,
113,1759201264.68543,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
114,1759201264.68543,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
115,1759201264.68543,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
116,1759201264.68543,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
117,1759201264.75358,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
